Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,1340124,1302086,1212334,1335001,1086219,1011770,1075788,1087080,1104738,1123297,874731,1012664,926027,719572,995824,772066,612471,846816,907887,885716,902854,1117346,1269019,1249056,1134710,1135839,1193247,1161618,1171993,1173352
Belgium,0,0,0,0,0,0,0,0,0,834492,1133361,884233,1484301,1579419,1396235,1158038,1537413,1103118,649931,934293,870665,934469,914637,1245165,1258937,1073611,1502125,1300055,1364927,1185376
Bulgaria,101783,16761,174878,326955,352764,393408,246475,274918,324160,363042,275085,350400,340569,397315,364191,430014,420383,364190,444718,409276,395358,359520,375941,418607,376236,406257,452346,415012,425719,423067
Croatia,0,0,134545,131890,163862,288481,304469,361396,319730,337168,327124,336768,354863,375428,370010,373753,386133,386334,377142,365638,369839,367153,360364,386563,368460,374648,379585,361106,359937,380506
Cyprus,30571,44697,39304,77516,45369,42678,51741,46496,46206,53941,66797,52891,51379,53096,59812,69648,55496,69284,77293,75438,73906,80794,85398,89311,80736,92716,93090,97274,129805,115425
Czechia,659433,525274,472156,448395,508724,511454,474992,484580,523408,557687,560226,633051,641529,622663,604683,656466,631014,678961,621413,525168,469732,572458,685226,637425,998184,708367,806007,804173,1157594,842701
Denmark,865139,908542,958835,890556,908483,757797,895014,808457,853660,868865,790644,868401,804592,724039,848846,794550,822494,794284,688344,676253,806489,762259,799824,822180,748028,731401,753333,732519,739494,778143
Estonia,0,0,12909,44189,63164,82848,84214,98862,89531,95253,97339,106903,110810,114362,128524,144660,166943,101132,153860,123494,104783,66614,103981,120056,117332,119056,121322,108622,126443,122510
Finland,1070435,965554,1030328,1128864,1049508,734678,900642,939425,1001365,979014,967219,947433,969586,965893,1034360,1102241,1046844,1056903,1114922,1058406,1080424,1092977,1082026,1094637,1029736,1110059,1147411,1062034,1106232,1347922
France,5205172,5556988,5614453,5506780,5110872,5312682,5512406,5486911,5350691,5578437,5402081,5252819,5525715,5393680,4929117,4787358,5277586,5627754,5151567,5676750,5712899,5961953,5790295,5706862,5954154,5591327,5374539,5549649,5986441,6192440
Germany,7279257,12377216,9570402,11324733,8213945,11231451,10593686,9670068,9976166,9748007,8769881,9059328,8498000,9498599,10444708,8664507,9150853,8626681,9534508,8896933,9291959,9460350,8829743,9378033,8682316,8420973,8583005,8554967,8460830,8670045
Greece,630796,386942,320167,147720,356286,383374,714888,738871,667664,640797,687436,547851,826549,928563,871045,870119,856589,1014597,978073,973876,993692,1022549,1076099,1100543,1087938,1048892,1386315,755768,1059228,1139470
Hungary,573974,380228,348359,556782,723931,447415,570963,601649,652367,656996,632937,646940,637487,646087,707891,569902,598018,522203,493978,445286,375714,180066,252242,176743,399666,403544,370606,408247,447580,417725
Ireland,119885,112966,90729,107310,127123,106530,86773,96959,91736,134579,83158,146240,136116,150926,224743,222892,202660,244346,115107,134496,159982,178634,214096,195929,256734,293060,318196,291485,369612,369539
Italy,4832294,4254040,4132136,4888263,4773630,4644359,4775914,4912919,4935936,4918689,5149236,5243277,5182230,5507114,5468909,5551827,5593061,5820949,5892152,5806025,5781319,5689332,5709763,5633887,5861371,5660193,5998146,5610328,5954763,5469078
Japan,5059848,5808974,5132432,5739836,5973032,6116008,5837947,5968169,6051945,6272902,6625660,6935595,6874695,6769772,7116980,7127951,7268186,7282083,7064685,7130403,7192398,7014854,7130947,7435140,7493665,7695189,7871932,7742009,7833596,7550822
Latvia,0,0,19259,41448,5647,14192,49767,119967,134113,165944,161795,149770,144997,158570,154994,144222,180788,130850,115139,88113,98595,101030,101187,94973,110175,106218,111012,117518,97969,113693
