Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,84350,70501,80250,38878,8302,40559,51831,50494,53929,50114,21505,14250,9345,17298,5670,4665,5410,3916,6105,6925,4370,7575,8375,5520,9375,10515,10945,9055,9323,23357
Bolivia,156442,73523,96204,47319,84321,93958,123445,110955,97039,123709,106347,69555,79148,73159,93278,84214,92544,84047,68154,82609,78268,74309,62676,54851,61751,30280,22456,26120,22460,20342
Brazil,16935788,21182761,18790719,17837748,17273148,14468432,15250609,16801260,18144388,23149204,18016261,23172487,27981839,25710812,26478475,26198055,27368902,28183574,29510296,30377982,33166642,33806009,28549426,31650563,37335173,37562847,34269150,30924568,35637359,40697864
Burundi,584773,687851,645858,417609,507803,528202,224076,528764,373841,408748,444242,303166,288607,475980,338925,371441,280927,356114,250698,288830,307119,217846,392007,194716,252178,230189,204271,168876,201725,292887
Cameroon,2611259,1752179,1645851,704530,545889,407269,563549,1368030,745718,1154047,1204964,1125159,639688,814341,734325,704395,739119,720621,527016,617757,793846,490283,621813,271949,375034,390143,281129,245017,287415,249902
Central African Rep.,196698,140950,99975,137197,136676,231542,98328,202778,102320,194884,202816,94316,95435,39830,63920,46561,16518,121940,32633,61582,95194,77943,77692,1000,75027,43214,80018,18113,38528,19273
Colombia,13943870,12599185,16564370,13568362,11768089,9814197,10588431,10918863,11259929,9995310,9176661,9943630,10273425,10244392,10194315,10871247,10944853,11300421,11085170,7893927,7821635,7733625,7170203,9669907,10954408,12716385,12831391,12984596,12807973,13672226
Congo,1680,924,336,504,1017,19149,12634,2670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,1
Costa Rica,2265644,2399640,2431340,2363920,2104968,2067011,2430134,2099239,2044558,2194911,1964980,2018297,1784034,1701812,1423940,1480336,1310369,1363850,1440083,1235645,1199983,1243060,1373667,1343952,1208918,1128190,1006928,987155,1207946,1039144
Côte d'Ivoire,4282866,3804734,4546368,4033107,2443993,2493946,2750603,4712982,4365288,2406010,6109614,4094522,3253215,2646649,2572734,1753849,1751070,2195602,1490235,1806526,1912053,772242,1711766,1962071,1489151,1418375,1432044,854621,1522458,2104257
Cuba,181779,121429,162710,116195,135725,122287,112171,106663,151941,77413,112919,108625,57420,50140,24838,23684,15933,15640,3850,7462,5260,9755,15312,12415,13241,12796,15402,15127,33347,22486
Dem. Rep. Congo,1838636,1417957,954229,919506,761010,1051390,881561,544253,640369,487112,281328,133054,179221,211869,252586,157530,138094,199988,203204,161002,162110,131665,146384,140125,150577,128285,170955,88619,188000,204527
Dominican Rep.,535207,476263,369467,331432,332313,451018,452704,306977,359505,160592,154867,97385,116818,151438,45564,41767,124672,77830,81615,102396,41131,88598,137383,64723,44834,19144,19363,24396,32203,27376
Ecuador,1783716,1416384,1273435,1598666,2145251,1539974,1539411,1044981,1056416,988026,696650,756389,565289,621453,703921,993485,1014779,991115,868456,1086217,1201553,1532257,1579591,1262126,1129165,869048,922626,695146,482699,506267
El Salvador,2509873,2148210,2120092,2947071,2092955,1807498,2314147,2772126,1684247,1889815,2536573,1532914,1533099,1304030,1327533,1279881,1292815,1210359,1438211,1309200,1081767,1826307,1043986,1102743,461649,575864,495993,527101,571424,545833
Eq. Guinea,7068,3321,2766,2463,849,3385,1659,1120,1669,1036,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
Ethiopia,1074101,841329,734461,1166778,1475325,1276118,1838231,1979733,1917061,1818087,1981856,1376062,2054678,2229143,2490944,2435069,2935560,2604008,2851921,1851497,3324103,2675419,3202592,2870075,3116690,2984975,3000724,3773406,3589048,3921250
Gabon,2314,3338,1007,2178,5039,2946,1681,0,1765,2500,584,2024,250,950,0,0,1091,403,421,675,810,752,0,0,0,0,0,0,17,30
Ghana,10865,15702,32245,47482,10815,38152,4359,29669,17787,94408,90633,56534,25057,25028,22107,17544,8820,22123,36090,23675,6622,72073,30467,22611,26442,40022,26802,16856,12400,10155
Guatemala,3240141,2831985,3327988,3750687,3274069,3700872,3978998,4243882,3541853,4680601,4851592,4110378,3491328,3820800,3309581,3465793,3312109,3726167,3777590,3492822,3468088,3696825,3750113,3575011,3043439,2960862,2991121,3382666,3327490,3613188
Guinea,121696,61447,57520,15469,50467,151552,32430,114344,228180,300794,292153,355808,135767,354647,296202,279415,518923,435694,208175,438786,405559,384524,377204,134277,24121,151693,250029,215691,156505,68908
Guyana,200,422,539,53,403,26,338,323,228,1409,514,1147,1070,778,641,528,1710,1913,1519,1367,803,590,1767,1110,12540,1976,1967,812,1179,646
Haiti,191445,150673,165976,158542,103468,151788,156468,100776,127306,71841,72858,86668,41182,37022,32056,25099,23787,20818,17201,15916,8740,8621,11062,8279,3141,2661,1277,1886,2019,1861
Honduras,1735093,1444363,1960071,1705317,1718185,1795963,2059760,1722482,2329274,1986603,2878560,2391613,2711260,2425237,2779189,2391905,2898414,3312009,3259455,3084188,3349398,3947141,5507985,4185119,4251827,5029667,5305953,7340844,7143884,6764565
India,1979148,1727359,1816341,2101593,2496085,2467257,3103176,2640111,3486830,3621959,4228788,3729701,3550130,3707066,3647337,2828932,3578275,3319406,3376669,3006562,4647281,5414011,5043962,5032639,5130914,5262294,6086120,6541501,5967225,6027861
Indonesia,6903227,6170796,4603696,5662094,4604630,3946585,6440280,5755078,5598032,5115027,5357599,5243405,4285830,4794720,5455599,6744094,5280435,4149410,5740673,7907274,5489148,3919892,8205741,9254807,6174810,8378688,6545392,8197574,4538839,6333873
Jamaica,14984,16705,22427,24354,15827,26323,27285,29682,16981,24228,28916,28191,26373,24508,29190,15313,24604,22733,20775,24831,15435,16060,14919,15054,10249,11874,11224,10232,9752,9405
Kenya,1969338,1557532,1384291,1438799,1358411,1450046,1901584,1159095,841489,1114070,1328308,1095882,735704,919569,753598,673140,597133,817466,608429,524748,531093,609163,802886,814542,798727,712056,727043,709638,753031,835887
Laos,98333,98333,101850,141667,153000,165233,144167,110083,111688,191336,254599,198119,278067,232650,267067,236900,119864,251688,258105,263862,287858,420966,359762,399651,369726,403170,385780,385588,361022,575337
Liberia,22411,0,0,0,0,0,0,0,3244,15209,3583,7227,5775,6604,0,780,446,2335,1730,9120,7216,7879,2811,3539,1346,3520,2955,11012,7733,583
Madagascar,863040,587658,736406,627783,435621,585188,718049,480233,796116,464383,216232,87257,145329,118950,127034,96016,178720,99451,196187,39637,73585,143911,78917,166138,137810,59326,75796,57536,6477,4004
Malawi,124154,99535,128022,103574,78469,91633,60151,60170,58600,54310,61488,63712,43970,48882,25737,20867,17420,18875,20554,17575,8120,25853,19530,28730,25535,17859,22149,12622,12080,15659
Mexico,3683104,3530820,3332041,3263616,2789046,3626492,4633497,4502424,3399026,4357625,5303690,3333166,2644659,2595593,2361931,1984803,2570075,2912302,2448001,2838096,2497540,2906518,3556456,3132050,2479527,2457997,2232913,2910650,2888140,2626985
Nepal,0,0,0,8,0,250,83,67,33,0,67,67,117,1859,1457,1143,1387,1920,1037,1508,1037,3748,1429,1220,863,2025,2071,975,1845,1241
Nicaragua,671184,392053,635946,476466,623514,681179,822356,714003,940584,984194,1366623,1364592,955402,1013237,1311350,1002543,1445303,1259347,1625111,1373999,1711816,1467710,1987302,1660550,1900637,1753159,1963467,2448638,2300035,2954390
Nigeria,3582,922,11391,10304,7873,15191,6924,6905,9897,8576,6744,6855,5310,8979,5619,8358,27951,9413,1888,642,3044,6554,1662,721,1432,2863,1401,2580,3013,2194
Panama,131654,124200,125404,129286,76486,180533,138598,124107,145123,117981,72034,56933,82697,86101,99145,90375,106943,108895,113952,58995,65335,53089,50593,48549,51025,49714,55585,50141,46894,50692
Papua New Guinea,1050719,788353,917174,1054634,1156837,1002052,1090076,1043437,1348968,1320148,1043157,1095411,1057054,1147168,1047665,1199641,848807,908745,1095921,1026973,929341,1224523,924930,810933,806834,711482,1133180,794100,869946,787073
