Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,84.350,70.501,80.250,38.878,8.302,40.559,51.831,50.494,53.929,50.114,21.505,14.250,9.345,17.298,5.670,4.665,5.410,3.916,6.105,6.925,4.370,7.575,8.375,5.520,9.375,10.515,10.945,9.055,9.323,23.357
Bolivia,156.442,73.523,96.204,47.319,84.321,93.958,123.445,110.955,97.039,123.709,106.347,69.555,79.148,73.159,93.278,84.214,92.544,84.047,68.154,82.609,78.268,74.309,62.676,54.851,61.751,30.280,22.456,26.120,22.460,20.342
Brazil,16935.788,21182.761,18790.719,17837.748,17273.148,14468.432,15250.609,16801.260,18144.388,23149.204,18016.261,23172.487,27981.839,25710.812,26478.475,26198.055,27368.902,28183.574,29510.296,30377.982,33166.642,33806.009,28549.426,31650.563,37335.173,37562.847,34269.150,30924.568,35637.359,40697.864
Burundi,584.773,687.851,645.858,417.609,507.803,528.202,224.076,528.764,373.841,408.748,444.242,303.166,288.607,475.980,338.925,371.441,280.927,356.114,250.698,288.830,307.119,217.846,392.007,194.716,252.178,230.189,204.271,168.876,201.725,292.887
Cameroon,2611.259,1752.179,1645.851,704.530,545.889,407.269,563.549,1368.030,745.718,1154.047,1204.964,1125.159,639.688,814.341,734.325,704.395,739.119,720.621,527.016,617.757,793.846,490.283,621.813,271.949,375.034,390.143,281.129,245.017,287.415,249.902
Central African Rep.,196.698,140.950,99.975,137.197,136.676,231.542,98.328,202.778,102.320,194.884,202.816,94.316,95.435,39.830,63.920,46.561,16.518,121.940,32.633,61.582,95.194,77.943,77.692,1.000,75.027,43.214,80.018,18.113,38.528,19.273
Colombia,13943.870,12599.185,16564.370,13568.362,11768.089,9814.197,10588.431,10918.863,11259.929,9995.310,9176.661,9943.630,10273.425,10244.392,10194.315,10871.247,10944.853,11300.421,11085.170,7893.927,7821.635,7733.625,7170.203,9669.907,10954.408,12716.385,12831.391,12984.596,12807.973,13672.226
Congo,1.680,0.924,0.336,0.504,1.017,19.149,12.634,2.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.013,0.001
Costa Rica,2265.644,2399.640,2431.340,2363.920,2104.968,2067.011,2430.134,2099.239,2044.558,2194.911,1964.980,2018.297,1784.034,1701.812,1423.940,1480.336,1310.369,1363.850,1440.083,1235.645,1199.983,1243.060,1373.667,1343.952,1208.918,1128.190,1006.928,987.155,1207.946,1039.144
Côte d'Ivoire,4282.866,3804.734,4546.368,4033.107,2443.993,2493.946,2750.603,4712.982,4365.288,2406.010,6109.614,4094.522,3253.215,2646.649,2572.734,1753.849,1751.070,2195.602,1490.235,1806.526,1912.053,772.242,1711.766,1962.071,1489.151,1418.375,1432.044,854.621,1522.458,2104.257
Cuba,181.779,121.429,162.710,116.195,135.725,122.287,112.171,106.663,151.941,77.413,112.919,108.625,57.420,50.140,24.838,23.684,15.933,15.640,3.850,7.462,5.260,9.755,15.312,12.415,13.241,12.796,15.402,15.127,33.347,22.486
Dem. Rep. Congo,1838.636,1417.957,954.229,919.506,761.010,1051.390,881.561,544.253,640.369,487.112,281.328,133.054,179.221,211.869,252.586,157.530,138.094,199.988,203.204,161.002,162.110,131.665,146.384,140.125,150.577,128.285,170.955,88.619,188.000,204.527
Dominican Rep.,535.207,476.263,369.467,331.432,332.313,451.018,452.704,306.977,359.505,160.592,154.867,97.385,116.818,151.438,45.564,41.767,124.672,77.830,81.615,102.396,41.131,88.598,137.383,64.723,44.834,19.144,19.363,24.396,32.203,27.376
Ecuador,1783.716,1416.384,1273.435,1598.666,2145.251,1539.974,1539.411,1044.981,1056.416,988.026,696.650,756.389,565.289,621.453,703.921,993.485,1014.779,991.115,868.456,1086.217,1201.553,1532.257,1579.591,1262.126,1129.165,869.048,922.626,695.146,482.699,506.267
El Salvador,2509.873,2148.210,2120.092,2947.071,2092.955,1807.498,2314.147,2772.126,1684.247,1889.815,2536.573,1532.914,1533.099,1304.030,1327.533,1279.881,1292.815,1210.359,1438.211,1309.200,1081.767,1826.307,1043.986,1102.743,461.649,575.864,495.993,527.101,571.424,545.833
Eq. Guinea,7.068,3.321,2.766,2.463,0.849,3.385,1.659,1.120,1.669,1.036,0.179,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.058,0.000
Ethiopia,1074.101,841.329,734.461,1166.778,1475.325,1276.118,1838.231,1979.733,1917.061,1818.087,1981.856,1376.062,2054.678,2229.143,2490.944,2435.069,2935.560,2604.008,2851.921,1851.497,3324.103,2675.419,3202.592,2870.075,3116.690,2984.975,3000.724,3773.406,3589.048,3921.250
Gabon,2.314,3.338,1.007,2.178,5.039,2.946,1.681,0.000,1.765,2.500,0.584,2.024,0.250,0.950,0.000,0.000,1.091,0.403,0.421,0.675,0.810,0.752,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.030
Ghana,10.865,15.702,32.245,47.482,10.815,38.152,4.359,29.669,17.787,94.408,90.633,56.534,25.057,25.028,22.107,17.544,8.820,22.123,36.090,23.675,6.622,72.073,30.467,22.611,26.442,40.022,26.802,16.856,12.400,10.155
Guatemala,3240.141,2831.985,3327.988,3750.687,3274.069,3700.872,3978.998,4243.882,3541.853,4680.601,4851.592,4110.378,3491.328,3820.800,3309.581,3465.793,3312.109,3726.167,3777.590,3492.822,3468.088,3696.825,3750.113,3575.011,3043.439,2960.862,2991.121,3382.666,3327.490,3613.188
Guinea,121.696,61.447,57.520,15.469,50.467,151.552,32.430,114.344,228.180,300.794,292.153,355.808,135.767,354.647,296.202,279.415,518.923,435.694,208.175,438.786,405.559,384.524,377.204,134.277,24.121,151.693,250.029,215.691,156.505,68.908
Guyana,0.200,0.422,0.539,0.053,0.403,0.026,0.338,0.323,0.228,1.409,0.514,1.147,1.070,0.778,0.641,0.528,1.710,1.913,1.519,1.367,0.803,0.590,1.767,1.110,12.540,1.976,1.967,0.812,1.179,0.646
Haiti,191.445,150.673,165.976,158.542,103.468,151.788,156.468,100.776,127.306,71.841,72.858,86.668,41.182,37.022,32.056,25.099,23.787,20.818,17.201,15.916,8.740,8.621,11.062,8.279,3.141,2.661,1.277,1.886,2.019,1.861
Honduras,1735.093,1444.363,1960.071,1705.317,1718.185,1795.963,2059.760,1722.482,2329.274,1986.603,2878.560,2391.613,2711.260,2425.237,2779.189,2391.905,2898.414,3312.009,3259.455,3084.188,3349.398,3947.141,5507.985,4185.119,4251.827,5029.667,5305.953,7340.844,7143.884,6764.565
India,1979.148,1727.359,1816.341,2101.593,2496.085,2467.257,3103.176,2640.111,3486.830,3621.959,4228.788,3729.701,3550.130,3707.066,3647.337,2828.932,3578.275,3319.406,3376.669,3006.562,4647.281,5414.011,5043.962,5032.639,5130.914,5262.294,6086.120,6541.501,5967.225,6027.861
Indonesia,6903.227,6170.796,4603.696,5662.094,4604.630,3946.585,6440.280,5755.078,5598.032,5115.027,5357.599,5243.405,4285.830,4794.720,5455.599,6744.094,5280.435,4149.410,5740.673,7907.274,5489.148,3919.892,8205.741,9254.807,6174.810,8378.688,6545.392,8197.574,4538.839,6333.873
Jamaica,14.984,16.705,22.427,24.354,15.827,26.323,27.285,29.682,16.981,24.228,28.916,28.191,26.373,24.508,29.190,15.313,24.604,22.733,20.775,24.831,15.435,16.060,14.919,15.054,10.249,11.874,11.224,10.232,9.752,9.405
Kenya,1969.338,1557.532,1384.291,1438.799,1358.411,1450.046,1901.584,1159.095,841.489,1114.070,1328.308,1095.882,735.704,919.569,753.598,673.140,597.133,817.466,608.429,524.748,531.093,609.163,802.886,814.542,798.727,712.056,727.043,709.638,753.031,835.887
