Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,1879717,2058271,2206416,1836489,1417214,1231436,1210466,1294203,1293354,1499777,1257233,1432414,1447207,1336060,1538156,1576579,1600652,1968113,1901067,1309234,1369200,1452493,1558609,1554927,1525081,1513390,1494939,1459912,1429407,1447514
Belgium,0,0,0,0,0,0,0,0,0,3003006,3490616,3208627,3792173,3817614,3968305,4063225,4604684,4013653,6792087,5915501,5923730,5828442,5668232,5502144,5211749,5533514,6052170,5677379,5742253,6198897
Bulgaria,268183,200220,182231,397443,462668,515418,272160,294154,342122,366919,280727,354905,343432,400361,366849,440514,434552,393361,517206,522996,528372,481510,559825,609487,620709,681757,779160,706883,737244,784897
Croatia,0,0,168190,162774,193450,320132,321836,385297,339051,352083,344382,352089,370915,392574,388392,391600,404122,413765,405326,394049,393825,390874,384490,412849,419674,437201,478667,439074,445514,466418
Cyprus,49854,53926,40876,77412,51836,43769,51502,41341,49779,55459,68538,59046,56629,58798,59354,80098,73804,71422,77514,71740,76728,82079,83877,93766,94388,89305,93153,99934,133180,133225
Czechia,659433,525274,474731,514277,553797,553197,525298,560225,764839,727677,808942,899253,887880,974066,928875,1063414,940478,1037079,1037327,930026,950722,952367,1126623,1183882,1822691,2067839,1779351,1506967,1903159,1608921
Denmark,959105,982757,1061623,993947,1033184,877159,1005999,949071,1013723,1093779,1021798,1102964,1075800,1001582,1119450,993360,1004163,995198,900365,859847,1014641,908870,913099,921179,853424,840778,905790,852193,867951,907935
Estonia,0,0,16378,51148,83098,107478,116918,141115,134659,130913,105305,160889,119703,133806,175733,221136,254424,277107,334383,357273,262870,166856,157235,156214,130854,126201,134803,133148,147138,147849
Finland,1095141,1033067,1055361,1301456,1361003,769499,992274,1185521,1167935,1209485,1063111,1084063,1075335,1104797,1151983,1156441,1167979,1207029,1284795,1243264,1273743,1286515,1237833,1275468,1213055,1320802,1388966,1360024,1284823,1515474
France,6301221,6552709,6612056,6334468,6368662,6213680,6659513,6703985,6576023,6675666,6520009,6752744,6925100,6651824,5940129,5714009,6190532,6420270,6251739,6669728,6717242,6991820,6841136,6713105,7112306,6808567,6737783,6966515,7624019,7992905
