Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,1879.717,2058.271,2206.416,1836.489,1417.214,1231.436,1210.466,1294.203,1293.354,1499.777,1257.233,1432.414,1447.207,1336.060,1538.156,1576.579,1600.652,1968.113,1901.067,1309.234,1369.200,1452.493,1558.609,1554.927,1525.081,1513.390,1494.939,1459.912,1429.407,1447.514
Belgium,,,,,,,,,,3003.006,3490.616,3208.627,3792.173,3817.614,3968.305,4063.225,4604.684,4013.653,6792.087,5915.501,5923.730,5828.442,5668.232,5502.144,5211.749,5533.514,6052.170,5677.379,5742.253,6198.897
Bulgaria,268.183,200.220,182.231,397.443,462.668,515.418,272.160,294.154,342.122,366.919,280.727,354.905,343.432,400.361,366.849,440.514,434.552,393.361,517.206,522.996,528.372,481.510,559.825,609.487,620.709,681.757,779.160,706.883,737.244,784.897
Croatia,,,168.190,162.774,193.450,320.132,321.836,385.297,339.051,352.083,344.382,352.089,370.915,392.574,388.392,391.600,404.122,413.765,405.326,394.049,393.825,390.874,384.490,412.849,419.674,437.201,478.667,439.074,445.514,466.418
Cyprus,49.854,53.926,40.876,77.412,51.836,43.769,51.502,41.341,49.779,55.459,68.538,59.046,56.629,58.798,59.354,80.098,73.804,71.422,77.514,71.740,76.728,82.079,83.877,93.766,94.388,89.305,93.153,99.934,133.180,133.225
Czechia,659.433,525.274,474.731,514.277,553.797,553.197,525.298,560.225,764.839,727.677,808.942,899.253,887.880,974.066,928.875,1063.414,940.478,1037.079,1037.327,930.026,950.722,952.367,1126.623,1183.882,1822.691,2067.839,1779.351,1506.967,1903.159,1608.921
Denmark,959.105,982.757,1061.623,993.947,1033.184,877.159,1005.999,949.071,1013.723,1093.779,1021.798,1102.964,1075.800,1001.582,1119.450,993.360,1004.163,995.198,900.365,859.847,1014.641,908.870,913.099,921.179,853.424,840.778,905.790,852.193,867.951,907.935
Estonia,,,16.378,51.148,83.098,107.478,116.918,141.115,134.659,130.913,105.305,160.889,119.703,133.806,175.733,221.136,254.424,277.107,334.383,357.273,262.870,166.856,157.235,156.214,130.854,126.201,134.803,133.148,147.138,147.849
Finland,1095.141,1033.067,1055.361,1301.456,1361.003,769.499,992.274,1185.521,1167.935,1209.485,1063.111,1084.063,1075.335,1104.797,1151.983,1156.441,1167.979,1207.029,1284.795,1243.264,1273.743,1286.515,1237.833,1275.468,1213.055,1320.802,1388.966,1360.024,1284.823,1515.474
France,6301.221,6552.709,6612.056,6334.468,6368.662,6213.680,6659.513,6703.985,6576.023,6675.666,6520.009,6752.744,6925.100,6651.824,5940.129,5714.009,6190.532,6420.270,6251.739,6669.728,6717.242,6991.820,6841.136,6713.105,7112.306,6808.567,6737.783,6966.515,7624.019,7992.905
