Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,50.345,79.331,77.520,32.608,76.802,62.109,70.925,64.330,85.344,54.939,49.785,20.690,56.640,38.013,14.770,24.965,35.095,35.631,37.610,13.420,34.970,28.715,32.790,34.935,39.405,40.515,44.830,35.006,41.903,51.842
Bolivia,122.777,103.536,120.235,50.823,116.944,142.485,124.579,140.719,137.985,157.702,147.604,94.016,126.668,103.323,154.807,109.969,146.430,116.029,120.419,128.475,117.225,131.835,105.281,119.912,99.877,84.219,77.984,83.811,82.569,81.265
Brazil,27285.629,27293.493,34603.354,28166.979,28192.047,18060.202,29196.743,26148.004,36760.853,47577.807,31310.353,31365.096,48351.634,28873.409,39281.146,32932.980,48431.734,38911.457,51490.518,43976.812,55428.410,48591.829,55418.001,54688.966,53304.767,52870.588,56788.178,52739.818,65130.800,58210.713
Burundi,487.393,667.199,620.238,393.354,664.143,433.980,400.969,249.785,491.992,350.550,487.460,143.982,453.732,337.858,437.036,103.315,498.500,132.856,411.782,111.613,352.978,204.133,405.962,163.218,247.550,269.458,196.413,202.108,204.339,272.469
Cameroon,1682.484,1725.948,260.376,682.913,405.557,660.040,1432.189,888.942,1113.940,1369.824,1113.143,685.677,800.795,900.282,727.382,869.716,818.166,795.305,724.900,902.281,527.135,669.325,371.020,403.831,483.105,390.838,291.876,369.553,309.591,268.209
Central African Rep.,175.274,124.781,133.845,165.574,249.512,108.065,207.831,114.354,214.582,240.682,113.313,68.172,92.094,42.730,28.715,23.164,113.504,43.467,59.616,112.109,78.462,91.325,22.890,90.104,62.614,100.018,36.727,59.914,37.135,55.138
Colombia,14396.000,17980.397,14946.878,11422.422,12964.000,12938.018,10778.850,12122.496,10867.962,9512.246,10519.352,11950.283,11712.040,11052.624,11428.856,11952.300,12164.193,12515.097,8664.290,8097.586,8522.659,7653.334,9926.945,12124.070,13333.344,14008.781,14634.389,13824.073,13865.962,14100.118
Congo,2.924,3.003,3.171,3.000,7.585,11.755,13.860,3.270,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.002,3.000,3.000,3.000,3.013,3.001
Costa Rica,2561.885,2759.619,2997.974,2358.753,2481.942,2843.596,2221.915,2616.600,2445.120,2485.330,2418.536,2246.700,2043.413,1886.432,1875.840,1652.529,1706.073,1797.137,1499.918,1476.748,1613.700,1830.896,1822.691,1552.076,1475.061,1440.172,1371.896,1560.680,1426.657,1471.763
Côte d'Ivoire,2940.363,4129.295,2245.536,2293.407,3006.444,2531.864,4858.592,4164.004,1991.547,6320.439,4845.586,3596.116,3009.640,2981.252,2135.600,2099.045,2847.940,1338.145,2526.326,1988.699,836.724,2216.342,1993.837,2597.767,1728.043,1289.085,1117.405,1623.849,2175.323,1929.197
